695669826 129552;695669825 129552
929177485 244855;929177484 244855
18712872 249214;18712872 249213
959709364 348800;959709365 348800
2598342 367656;2598341 367656
805017298 411264;805017298 411265
152248831 475597;152248831 475596
973061371 558313;973061371 558312
939000103 634341;939000104 634341
492615241 642615;492615241 642616
660454026 937592;660454025 937592
459000 943638;459000 943637
296947836 1036480;296947836 1036479
907666429 1109931;907666428 1109931
767164196 1190260;767164196 1190261
642702882 1252530;642702883 1252530
506241032 1420476;506241032 1420475
741526600 1481014;741526600 1481013
533441868 1520706;533441867 1520706
638197727 1597877;638197728 1597877
277756009 1667809;277756009 1667808
201043914 1826278;201043914 1826277
850255911 2032597;850255911 2032598
284924981 2311759;284924981 2311758
124046002 2357814;124046002 2357815
114703996 2363182;114703996 2363181
397434812 2428292;397434813 2428292
918505955 2523089;918505954 2523089
481707779 2558107;481707779 2558108
797015155 2669625;797015156 2669625
808562769 2697141;808562768 2697141
42096333 2740113;42096333 2740112
190775370 2828850;190775370 2828849
407525486 2936776;407525486 2936777
249044333 3023409;249044334 3023409
219277914 3169710;219277914 3169711
383229026 3271254;383229026 3271253
130068092 3676378;130068093 3676378
649736948 4001418;649736949 4001418
976647130 4028784;976647129 4028784
211034489 4355725;211034490 4355725
717879475 4523811;717879474 4523811
98148930 4532616;98148931 4532616
686526032 4835030;686526032 4835031
445833937 4907981;445833937 4907982
166418940 5062006;166418940 5062007
112452314 5075548;112452314 5075547
716916807 5270047;716916807 5270046
775715782 5313740;775715782 5313739
29453675 5435365;29453675 5435364
213370448 5466162;213370448 5466163
61587552 5469154;61587552 5469153
233365673 5501149;233365673 5501148
220812903 5565339;220812902 5565339
163538744 5626056;163538744 5626055
806733761 5673947;806733761 5673946
880315307 6146255;880315308 6146255
87455480 6277910;87455480 6277911
8721646 6336170;8721646 6336169
83231535 6422965;83231536 6422965
547002182 6441004;547002183 6441004
106967789 6613449;106967789 6613448
367199312 6667140;367199313 6667140
871235996 6701038;871235995 6701038
612574089 6866305;612574089 6866304
889966924 6906078;889966924 6906077
300378526 7000596;300378526 7000597
11890687 7036933;11890686 7036933
368050591 7137343;368050591 7137344
257699801 7152443;257699801 7152442
826101739 7228005;826101738 7228005
356323614 7328386;356323613 7328386
741082400 7333474;741082400 7333475
36398924 7423058;36398924 7423059
429057370 7791744;429057371 7791744
301656520 7912176;301656521 7912176
189382979 8027099;189382978 8027099
918473639 8109511;918473639 8109510
355514618 8213000;355514619 8213000
370542554 8299226;370542554 8299227
719358166 8426898;719358166 8426899
813355831 8717907;813355832 8717907
776309532 8743870;776309533 8743870
854948989 8998389;854948990 8998389
498793825 9050193;498793826 9050193
705235018 9143888;705235018 9143889
156442511 9737401;156442511 9737402
742970089 9766609;742970090 9766609
213816062 9940432;213816062 9940433
582998334 10636698;582998333 10636698
143700991 10740965;143700991 10740964
280219024 10785790;280219025 10785790
447661131 10915899;447661132 10915899
129197974 10950386;129197974 10950387
222604851 10950721;222604852 10950721
330595274 10985640;330595273 10985640
491356356 11131788;491356356 11131787
567762701 11434347;567762702 11434347
610058848 11436618;610058847 11436618
824955298 11546624;824955298 11546623
342364387 11737571;342364388 11737571
753886400 11896974;753886399 11896974
782516248 12085928;782516248 12085929
310842249 12102967;310842249 12102968
369972221 12155843;369972221 12155842
2712672 12206922;2712673 12206922
342904397 12314161;342904397 12314162
377267965 12534509;377267965 12534508
492071210 12555920;492071210 12555921
18829135 12612737;18829134 12612737
729590985 12692647;729590985 12692646
171188420 12763318;171188419 12763318
443984524 12796518;443984523 12796518
310104842 12829948;310104842 12829949
882300100 12857590;882300100 12857591
523422163 13068483;523422163 13068484
289495579 13177823;289495579 13177822
154143021 13355869;154143022 13355869
434226752 13513472;434226751 13513472
67926250 13748234;67926250 13748235
748669453 13894195;748669453 13894196
183495566 14117804;183495567 14117804
422054342 14285640;422054343 14285640
463654656 14517868;463654656 14517867
681866760 14542286;681866760 14542285
624796586 14543758;624796587 14543758
170995763 14559261;170995763 14559262
695781132 14659416;695781132 14659417
755232647 14843141;755232647 14843142
212519810 14983560;212519809 14983560
567453718 15057504;567453718 15057503
418421121 15124307;418421121 15124306
994725457 15159799;994725457 15159798
58111294 15476424;58111294 15476425
281790592 15723778;281790593 15723778
635282146 15802740;635282145 15802740
354309944 15912576;354309944 15912575
772844088 15947038;772844087 15947038
923987314 16118056;923987315 16118056
948030000 16412584;948029999 16412584
193188215 16620831;193188216 16620831
653699393 16654591;653699393 16654590
729101833 16735929;729101834 16735929
769223568 16752122;769223567 16752122
202795795 16768523;202795795 16768524
217728050 16798684;217728050 16798683
134259344 16840506;134259344 16840505
389129236 16857932;389129236 16857933
60693726 16895810;60693725 16895810
730565925 16911719;730565925 16911718
550120622 17132308;550120621 17132308
450914451 17258673;450914451 17258672
64326221 17322853;64326221 17322854
162149585 17362453;162149584 17362453
102813865 17395837;102813866 17395837
799575584 17478578;799575584 17478579
594808426 17492572;594808426 17492571
559978114 17712030;559978114 17712031
371680718 18000282;371680718 18000281
871292522 18099858;871292522 18099857
505250620 18157036;505250620 18157037
162794343 18168131;162794343 18168130
274680210 18203294;274680210 18203295
941823416 18299336;941823415 18299336
477503148 18411374;477503148 18411373
663308364 18550286;663308363 18550286
239330700 18637048;239330701 18637048
975756999 18758813;975757000 18758813
538810214 18930950;538810214 18930951
223777110 19011996;223777110 19011995
369864691 19018153;369864690 19018153
744761903 19136407;744761902 19136407
808385408 19220004;808385408 19220005
164132722 19369814;164132722 19369815
90911451 19388557;90911451 19388558
798918149 19414409;798918150 19414409
790198947 19418831;790198948 19418831
297144107 19437701;297144106 19437701
158551518 19625884;158551518 19625885
526790106 19647124;526790106 19647123
767358446 19709690;767358446 19709691
144540197 19712695;144540196 19712695
966194803 19737991;966194802 19737991
216481444 19797528;216481443 19797528
266919184 19812624;266919185 19812624
495481413 19960293;495481413 19960294
330150729 19981719;330150730 19981719
435581628 19984312;435581629 19984312
314909961 20102125;314909962 20102125
112094329 20117363;112094329 20117362
950332718 20182680;950332717 20182680
53418415 20204467;53418414 20204467
496495903 20214029;496495903 20214028
669157282 20228288;669157282 20228289
401488988 20253744;401488988 20253745
988082880 20380956;988082881 20380956
757388504 20420404;757388504 20420403
871709915 20433991;871709915 20433990
131623663 20552331;131623663 20552330
532619745 20593281;532619745 20593282
897455079 20742061;897455080 20742061
243627565 21032539;243627564 21032539
85281908 21032880;85281909 21032880
358275238 21383490;358275239 21383490
239192481 21429605;239192481 21429604
492409076 21812696;492409075 21812696
534817721 22072787;534817720 22072787
354149012 22160050;354149012 22160051
395560124 22275934;395560124 22275933
563232630 22294958;563232629 22294958
743723990 22435384;743723990 22435385
859563452 22774086;859563452 22774085
739871445 22801431;739871445 22801430
811826614 22844216;811826614 22844217
600597597 22968769;600597597 22968770
958736272 22992282;958736273 22992282
328678322 23044182;328678322 23044183
877007309 23098143;877007308 23098143
454691705 23308987;454691705 23308986
649955589 23377009;649955589 23377008
219347918 23433840;219347918 23433839
705462497 23649855;705462497 23649854
625995681 23736721;625995681 23736720
882370826 23742784;882370827 23742784
654363523 23805445;654363523 23805444
528884355 23842525;528884355 23842524
662255579 24046203;662255580 24046203
434181083 24079943;434181084 24079943
618077340 24237642;618077340 24237643
779732577 24266453;779732577 24266452
912680137 24365533;912680137 24365534
98755921 24459045;98755921 24459044
995908452 24828040;995908453 24828040
695306937 25058157;695306936 25058157
473496307 25163269;473496306 25163269
263824338 25347908;263824339 25347908
405322764 25492028;405322763 25492028
35654729 25942311;35654729 25942312
599829976 26046976;599829976 26046975
19522328 26086000;19522327 26086000
873068864 26148912;873068864 26148911
151241848 26252316;151241848 26252315
192010286 26252870;192010286 26252869
761769303 26461897;761769303 26461896
236475079 26521617;236475079 26521618
15795413 26608333;15795413 26608334
719812662 26698570;719812662 26698571
581151350 26701172;581151349 26701172
945568831 26723433;945568830 26723433
197917708 26734386;197917708 26734387
699995397 27275805;699995397 27275804
436497969 27432943;436497970 27432943
73363072 27866696;73363072 27866697
688933375 27928471;688933375 27928470
301690004 28047896;301690003 28047896
899492938 28240420;899492939 28240420
676176440 28309684;676176440 28309683
474353891 28369991;474353891 28369992
212326271 28373567;212326271 28373566
112017433 28578805;112017433 28578804
305153427 28620163;305153427 28620162
373072853 28737695;373072853 28737696
130661714 28755490;130661714 28755489
209319425 28799397;209319425 28799396
292457618 28862584;292457618 28862585
981652105 28868953;981652106 28868953
887177826 28978180;887177825 28978180
429491932 28990194;429491932 28990193
492119516 29138120;492119517 29138120
263105023 29315495;263105023 29315494
352696027 29433485;352696026 29433485
300322558 29447950;300322559 29447950
42920136 29462088;42920136 29462087
645579260 29494552;645579260 29494551
218207814 29573392;218207813 29573392
148155062 29673546;148155061 29673546
331549581 29804895;331549580 29804895
409514549 30088637;409514548 30088637
804090060 30254058;804090061 30254058
182333260 30313284;182333260 30313285
82475406 30462874;82475405 30462874
144549534 30527424;144549535 30527424
777435256 30560840;777435255 30560840
416733875 30651117;416733874 30651117
716939350 30670190;716939350 30670191
368978320 30700646;368978319 30700646
215315880 30748354;215315879 30748354
983437690 30864844;983437689 30864844
352611731 31000185;352611731 31000184
181147300 31047198;181147300 31047197
916571936 31072388;916571936 31072387
77235645 31138195;77235645 31138194
928418844 31214250;928418844 31214249
779197924 31218082;779197925 31218082
335617365 31318189;335617364 31318189
334181433 31383047;334181432 31383047
217625540 31441198;217625540 31441197
232224892 31449798;232224892 31449799
988444906 31522734;988444907 31522734
543327124 31545832;543327124 31545831
591681238 31710862;591681238 31710861
34276525 32129639;34276525 32129640
755267043 32409525;755267043 32409524
919208010 32431632;919208009 32431632
244436460 32444516;244436459 32444516
892609876 32498102;892609875 32498102
