2 2;3 2
4 2;5 2
2 0;2 1
0 0;1 0
7 3;7 2
8 0;9 0
8 4;7 4
9 5;8 5
7 1;8 1
8 2;9 2
14 0;13 0
11 1;12 1
13 1;13 2
13 3;12 3
12 2;11 2
18 0;17 0
25 1;25 0
24 0;23 0
49 1;49 0
68 0;67 0
66 0;65 0
70 0;71 0
75 1;75 0
84 0;85 0
87 3;86 3
88 0;88 1
88 2;87 2
92 0;93 0
19 1;20 1
21 1;21 2
29 1;30 1
35 1;34 1
33 1;33 2
34 2;34 3
59 1;60 1
65 3;65 2
64 2;64 1
66 2;67 2
81 1;82 1
95 1;94 1
99 1;98 1
17 3;17 2
40 2;40 3
38 2;39 2
62 2;61 2
71 3;70 3
72 2;72 3
72 6;72 7
75 5;75 6
75 7;74 7
74 2;74 3
74 4;75 4
76 8;76 7
73 5;74 5
74 8;74 9
74 6;73 6
73 9;73 10
74 10;75 10
77 3;76 3
76 2;77 2
91 3;92 3
92 2;91 2
97 3;97 2
19 5;19 4
19 3;20 3
31 5;30 5
29 5;28 5
27 7;27 6
27 3;27 2
25 3;26 3
27 5;26 5
29 3;29 4
26 4;25 4
28 6;29 6
31 3;32 3
63 3;63 4
68 4;68 3
2 4;3 4
2 6;3 6
1 5;2 5
10 4;11 4
14 8;14 7
13 5;14 5
15 5;15 4
12 6;11 6
11 7;12 7
13 7;13 6
22 4;22 5
98 4;99 4
5 5;4 5
24 6;24 5
35 5;34 5
37 5;38 5
40 6;40 5
79 5;80 5
82 6;82 5
96 6;97 6
94 6;94 7
93 5;93 6
95 7;95 8
91 5;92 5
95 5;95 6
20 6;20 7
57 7;57 6
62 6;62 7
65 7;65 8
64 6;63 6
61 9;60 9
66 6;65 6
63 9;62 9
63 7;63 8
64 8;64 9
69 7;68 7
70 6;69 6
7 7;8 7
35 7;35 8
37 7;37 8
83 7;83 8
89 11;89 12
88 8;87 8
87 11;88 11
86 10;85 10
85 11;86 11
92 8;91 8
91 7;92 7
87 13;87 12
85 9;84 9
89 7;90 7
86 8;86 9
90 8;89 8
84 8;85 8
6 8;6 9
4 8;5 8
19 9;19 8
27 13;26 13
29 9;28 9
28 14;29 14
26 14;25 14
30 8;30 9
32 10;31 10
26 12;25 12
29 11;30 11
28 12;27 12
31 9;32 9
26 10;26 11
29 13;29 12
28 10;28 11
39 9;39 8
40 10;39 10
39 11;40 11
42 8;42 9
78 8;78 9
97 9;98 9
98 8;99 8
98 10;99 10
70 10;70 9
82 10;82 11
81 9;81 10
94 10;94 9
95 11;96 11
96 10;95 10
2 12;2 11
5 11;5 10
3 13;3 12
4 12;4 11
4 14;4 13
8 14;7 14
6 14;5 14
1 11;0 11
0 12;0 13
20 10;20 11
24 10;24 11
22 12;22 13
22 8;21 8
21 9;22 9
23 11;23 12
22 10;22 11
44 10;43 10
46 12;45 12
45 11;44 11
58 10;57 10
91 11;91 12
92 12;93 12
92 10;91 10
9 11;9 10
16 6;17 6
9 9;9 8
10 10;11 10
12 10;12 9
13 11;13 12
15 11;14 11
17 11;17 12
16 8;16 9
16 10;15 10
17 7;16 7
11 11;12 11
16 12;15 12
80 12;79 12
79 11;78 11
56 12;56 13
75 13;76 13
74 12;74 13
98 12;99 12
48 14;48 13
81 13;82 13
94 14;94 13
97 13;97 14
95 17;96 17
96 16;95 16
95 15;95 14
97 15;96 15
2 14;1 14
13 15;12 15
14 14;13 14
16 14;15 14
12 18;11 18
11 19;12 19
12 16;11 16
13 17;12 17
10 16;9 16
47 15;47 16
49 17;48 17
47 17;46 17
46 14;46 15
45 17;45 18
55 15;54 15
50 14;50 15
56 16;56 15
55 17;56 17
53 15;53 14
50 12;50 13
51 15;52 15
78 18;78 19
