5 1;5 0
10 0;11 0
9 1;9 0
14 2;14 1
14 0;15 0
18 0;19 0
24 0;25 0
42 0;42 1
39 1;40 1
40 0;41 0
38 0;38 1
40 2;41 2
36 0;37 0
48 0;48 1
52 2;52 1
51 1;51 0
53 3;53 2
60 2;61 2
62 2;62 1
59 1;58 1
55 1;56 1
62 0;63 0
58 4;58 3
54 0;54 1
57 1;57 0
57 3;57 2
59 3;59 2
78 0;77 0
81 1;82 1
82 0;81 0
88 0;89 0
93 1;92 1
92 0;93 0
18 2;19 2
17 1;17 2
27 1;26 1
26 2;25 2
30 2;30 1
27 3;28 3
28 2;29 2
28 4;27 4
36 2;35 2
35 3;35 4
34 2;34 1
37 3;36 3
45 1;46 1
10 6;9 6
10 2;11 2
11 3;12 3
8 4;9 4
8 6;8 5
9 3;10 3
49 3;49 2
66 4;67 4
65 3;64 3
67 3;66 3
64 2;64 1
66 2;67 2
5 3;4 3
43 5;42 5
43 3;43 4
45 5;46 5
45 3;45 4
79 3;80 3
78 4;78 5
79 5;79 6
80 4;79 4
2 4;3 4
25 5;25 4
63 5;64 5
59 7;59 6
62 4;63 4
64 6;64 7
64 8;64 9
61 7;60 7
62 8;63 8
62 6;61 6
61 9;61 8
33 5;33 6
31 5;32 5
31 7;31 6
33 7;34 7
39 5;39 6
54 6;53 6
53 5;52 5
55 5;55 6
5 7;5 6
3 7;4 7
2 6;3 6
26 6;26 7
29 7;29 6
77 7;77 6
41 7;40 7
57 7;57 8
23 9;23 8
37 9;37 8
36 10;36 9
53 9;54 9
54 8;53 8
75 9;74 9
78 10;78 9
77 9;76 9
74 8;75 8
29 9;30 9
31 11;30 11
32 12;32 11
29 15;29 14
30 12;31 12
30 10;29 10
31 13;31 14
30 14;30 13
33 9;34 9
48 8;49 8
49 7;48 7
51 9;51 10
51 7;50 7
47 11;48 11
50 10;49 10
49 9;48 9
48 10;47 10
50 6;50 5
88 10;87 10
86 10;86 9
89 9;90 9
98 10;98 11
97 9;97 10
